date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:49:05	212961/212961	---M--	200	added ('OK')	image/png	etag:%2266e03503-38c5e%22	https://www.bayequest.com/wp-content/uploads/2024/04/Are-Horses-Smart.png	C:/Users/cplapsadmin/Desktop/Web%20Track/horses/www.bayequest.com/wp-content/uploads/2024/04/Are-Horses-Smart.png	(from https://equinedispatch.com/carriers)
13:49:08	917786/917786	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Oct%202024%2013:46:28%20GMT	https://equinedispatch.com/front/assets/image/shipper-hero-bg.png	C:/Users/cplapsadmin/Desktop/Web%20Track/horses/equinedispatch.com/front/assets/image/shipper-hero-bg.png	(from https://equinedispatch.com/shippers)
13:49:21	102229/102229	---M--	200	added ('OK')	image/jpeg	etag:%2204bafe9a75c545d5c713fb41e714e6cd%22	https://assets.horsenation.com.s3.amazonaws.com/wp-content/uploads/2014/07/unnamed31.jpg	C:/Users/cplapsadmin/Desktop/Web%20Track/horses/assets.horsenation.com.s3.amazonaws.com/wp-content/uploads/2014/07/unnamed31.jpg	(from https://equinedispatch.com/faq)
13:49:21	1376496/1376496	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Oct%202024%2013:46:33%20GMT	https://equinedispatch.com/front/assets/image/carrier-hero-bg.png	C:/Users/cplapsadmin/Desktop/Web%20Track/horses/equinedispatch.com/front/assets/image/carrier-hero-bg.png	(from https://equinedispatch.com/carriers)
13:49:31	44191/44191	---M--	200	added ('OK')	image/gif	date:Wed,%2025%20Sep%202024%2007:05:57%20GMT	https://equinedispatch.com/assets/loader.gif	C:/Users/cplapsadmin/Desktop/Web%20Track/horses/equinedispatch.com/assets/loader.gif	(from https://equinedispatch.com/faq)
13:49:32	619804/619804	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Oct%202024%2013:46:32%20GMT	https://equinedispatch.com/front/assets/image/faq-bg.png	C:/Users/cplapsadmin/Desktop/Web%20Track/horses/equinedispatch.com/front/assets/image/faq-bg.png	(from https://equinedispatch.com/faq)
13:50:01	2288598/2288598	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Oct%202024%2013:46:29%20GMT	https://equinedispatch.com/front/assets/image/contact-bg.png	C:/Users/cplapsadmin/Desktop/Web%20Track/horses/equinedispatch.com/front/assets/image/contact-bg.png	(from https://equinedispatch.com/contact-us)
13:50:05	1539787/1539787	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Oct%202024%2013:46:35%20GMT	https://equinedispatch.com/front/assets/image/get-touch-img.png	C:/Users/cplapsadmin/Desktop/Web%20Track/horses/equinedispatch.com/front/assets/image/get-touch-img.png	(from https://equinedispatch.com/contact-us)
13:50:07	674615/674615	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Oct%202024%2013:46:31%20GMT	https://equinedispatch.com/front/assets/image/privacy-bg.png	C:/Users/cplapsadmin/Desktop/Web%20Track/horses/equinedispatch.com/front/assets/image/privacy-bg.png	(from https://equinedispatch.com/blog-details/df1edc74b7d461a2a861363e3796c9ea6697aa4c4fd9dd4f959f8aaf85e94314c4ca4238a0b923820dcc509a6f75849b)
13:50:09	2770/2770	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Sep%202026%2020:50:09%20GMT	https://cooperandgracie.com/cdn/shop/articles/Horses_in_Meadow_900x.png?v=1690365162	C:/Users/cplapsadmin/Desktop/Web%20Track/horses/cooperandgracie.com/cdn/shop/articles/Horses_in_Meadow_900x209d.html	(from https://equinedispatch.com/shippers-reviews)
